photo_path,gesture_label,keypoints_left,keypoints_right
hand_gesture_dataset/hola_0.png,hola,[],"[(0.794558048248291, 0.6508662700653076, 3.3765377338568214e-07), (0.7421687245368958, 0.6269407272338867, -0.022662602365016937), (0.7055456042289734, 0.5670533180236816, -0.03156612440943718), (0.6832473278045654, 0.5104473233222961, -0.0387510322034359), (0.6554774045944214, 0.47603800892829895, -0.045602548867464066), (0.7333871126174927, 0.47390878200531006, -0.010796502232551575), (0.7220134139060974, 0.40254122018814087, -0.025552334263920784), (0.7182242274284363, 0.3580095171928406, -0.03930271789431572), (0.7177813053131104, 0.31645190715789795, -0.049855928868055344), (0.766194224357605, 0.4636281132698059, -0.01240853127092123), (0.7599198222160339, 0.3835133910179138, -0.02432301826775074), (0.7579917311668396, 0.3313112258911133, -0.03745342418551445), (0.7578138709068298, 0.28439784049987793, -0.04770782217383385), (0.7972081303596497, 0.47204461693763733, -0.01787082850933075), (0.7985213398933411, 0.3976229131221771, -0.03209678456187248), (0.7998007535934448, 0.3495711088180542, -0.04205373674631119), (0.8000057935714722, 0.30649593472480774, -0.04925858974456787), (0.8277796506881714, 0.4937930405139923, -0.025700531899929047), (0.834145724773407, 0.43681982159614563, -0.03878044709563255), (0.8369359970092773, 0.3993985056877136, -0.04384218528866768), (0.8377703428268433, 0.36335575580596924, -0.047376032918691635)]"
hand_gesture_dataset/hola_1.png,hola,[],"[(0.7985037565231323, 0.6527750492095947, 3.3933389431695105e-07), (0.7467818856239319, 0.6307379007339478, -0.022917309775948524), (0.7111180424690247, 0.5721428990364075, -0.03185785189270973), (0.6896921396255493, 0.5160976052284241, -0.0389169380068779), (0.6638989448547363, 0.47916364669799805, -0.04547598585486412), (0.7388302683830261, 0.4774912893772125, -0.011579819023609161), (0.7279189825057983, 0.4057210385799408, -0.026041261851787567), (0.7244650721549988, 0.36123257875442505, -0.03931036964058876), (0.7246152758598328, 0.3201238512992859, -0.04935476556420326), (0.7713437080383301, 0.46779969334602356, -0.012851203791797161), (0.7651494741439819, 0.38750189542770386, -0.024373339489102364), (0.7637230157852173, 0.3350420594215393, -0.03694489598274231), (0.7643933892250061, 0.2887558937072754, -0.04666980728507042), (0.802135169506073, 0.4766225814819336, -0.017944172024726868), (0.8036012649536133, 0.40287303924560547, -0.03210106119513512), (0.8056042194366455, 0.35509592294692993, -0.04192822799086571), (0.8066699504852295, 0.31215739250183105, -0.048859577625989914), (0.8327265381813049, 0.4987025558948517, -0.025361090898513794), (0.8387473821640015, 0.4416654706001282, -0.03874586150050163), (0.8419367074966431, 0.4046623706817627, -0.043809447437524796), (0.8433833122253418, 0.36869680881500244, -0.04710762947797775)]"
hand_gesture_dataset/hola_2.png,hola,[],"[(0.7979748249053955, 0.6528444290161133, 3.4009556770797644e-07), (0.7465755939483643, 0.6313076019287109, -0.02467280440032482), (0.7109652161598206, 0.5725851655006409, -0.03476319834589958), (0.6882268190383911, 0.5164985060691833, -0.042746707797050476), (0.6604152321815491, 0.4810625910758972, -0.050282493233680725), (0.7383416295051575, 0.47808778285980225, -0.013394669629633427), (0.7269887328147888, 0.40701088309288025, -0.028906729072332382), (0.7232630848884583, 0.3626389503479004, -0.043027959764003754), (0.7231462597846985, 0.32084715366363525, -0.053760774433612823), (0.7706103324890137, 0.4678972065448761, -0.014244652353227139), (0.7643265724182129, 0.3876568377017975, -0.026729192584753036), (0.7625030279159546, 0.335665762424469, -0.039940956979990005), (0.7627453804016113, 0.2886975407600403, -0.05020594224333763), (0.801198422908783, 0.4766347408294678, -0.019025344401597977), (0.802743673324585, 0.4021725058555603, -0.033763282001018524), (0.8043412566184998, 0.35471677780151367, -0.043531402945518494), (0.8050382733345032, 0.3116037845611572, -0.05051758885383606), (0.8315832018852234, 0.49884650111198425, -0.026334194466471672), (0.8377295136451721, 0.4418913722038269, -0.03992965444922447), (0.8406514525413513, 0.40491172671318054, -0.04490585997700691), (0.8416627645492554, 0.36885911226272583, -0.04826660454273224)]"
hand_gesture_dataset/hola_3.png,hola,[],"[(0.7980296611785889, 0.6533646583557129, 3.3173955671372823e-07), (0.7460044622421265, 0.631335437297821, -0.023451020941138268), (0.710591197013855, 0.5729383826255798, -0.03295038640499115), (0.688713550567627, 0.5168423056602478, -0.04061196744441986), (0.6624428629875183, 0.47876492142677307, -0.0478220172226429), (0.7377865314483643, 0.4781738519668579, -0.012027241289615631), (0.7261804342269897, 0.40616554021835327, -0.027132051065564156), (0.7224363088607788, 0.3616939187049866, -0.04099104925990105), (0.7223666310310364, 0.3200903534889221, -0.05150550231337547), (0.7703324556350708, 0.4679907560348511, -0.013339590281248093), (0.7632290720939636, 0.38736581802368164, -0.02544473670423031), (0.7610069513320923, 0.3352215886116028, -0.038649871945381165), (0.7608429789543152, 0.2885330319404602, -0.04893515259027481), (0.801092267036438, 0.4764210283756256, -0.018517514690756798), (0.802175760269165, 0.40183544158935547, -0.032866548746824265), (0.8037484884262085, 0.35422101616859436, -0.042806319892406464), (0.8043091297149658, 0.3112218379974365, -0.04999096319079399), (0.8315122723579407, 0.49821197986602783, -0.026114553213119507), (0.8371528387069702, 0.441162645816803, -0.039565134793519974), (0.8399788737297058, 0.4044302999973297, -0.04467333108186722), (0.8409526348114014, 0.3687576651573181, -0.04812844842672348)]"
hand_gesture_dataset/hola_4.png,hola,[],"[(0.7972834706306458, 0.6551758646965027, 3.3530051268826355e-07), (0.7446189522743225, 0.6314709186553955, -0.0227375291287899), (0.7084837555885315, 0.5722038149833679, -0.031550560146570206), (0.6856844425201416, 0.5157124996185303, -0.03867945820093155), (0.6578180193901062, 0.48070618510246277, -0.04541245847940445), (0.7367545962333679, 0.47751468420028687, -0.009429246187210083), (0.7250846028327942, 0.40628671646118164, -0.02388896234333515), (0.7211809158325195, 0.361969530582428, -0.03772925212979317), (0.720768928527832, 0.3204524517059326, -0.048372864723205566), (0.7691894769668579, 0.46758824586868286, -0.010963382199406624), (0.7623582482337952, 0.38772934675216675, -0.02239328995347023), (0.7602968811988831, 0.3357909917831421, -0.03550383448600769), (0.7604357004165649, 0.28927767276763916, -0.04579735919833183), (0.8000240921974182, 0.4763350784778595, -0.016466740518808365), (0.8008482456207275, 0.4019029140472412, -0.030296696349978447), (0.8020976781845093, 0.3540864586830139, -0.04021328687667847), (0.8026142120361328, 0.3111085891723633, -0.047452982515096664), (0.8303700089454651, 0.4984007179737091, -0.024388380348682404), (0.8359200954437256, 0.44173863530158997, -0.03715204820036888), (0.8385545611381531, 0.4050811529159546, -0.04198252409696579), (0.8395764827728271, 0.3695673942565918, -0.045383695513010025)]"
hand_gesture_dataset/hola_5.png,hola,[],"[(0.7906832098960876, 0.6518529057502747, 3.2086668966258003e-07), (0.7390166521072388, 0.6309583783149719, -0.021844835951924324), (0.7017309069633484, 0.5731104612350464, -0.030448168516159058), (0.679538369178772, 0.5181437730789185, -0.03740716725587845), (0.6524369716644287, 0.4847817122936249, -0.04410502687096596), (0.7290001511573792, 0.4774427115917206, -0.01134195551276207), (0.7175683975219727, 0.40593376755714417, -0.025498658418655396), (0.7134596705436707, 0.36163341999053955, -0.038755375891923904), (0.7126383781433105, 0.32035332918167114, -0.04910068213939667), (0.7617377638816833, 0.46671438217163086, -0.013106717728078365), (0.7538834810256958, 0.38655734062194824, -0.024530760943889618), (0.7511606216430664, 0.33487653732299805, -0.03727741539478302), (0.750720739364624, 0.2881525158882141, -0.04747955501079559), (0.7926940321922302, 0.4747399687767029, -0.018511690199375153), (0.7933300137519836, 0.4004414677619934, -0.032169803977012634), (0.7946613430976868, 0.3529696464538574, -0.04205597564578056), (0.7950919270515442, 0.31019166111946106, -0.04952787607908249), (0.8232441544532776, 0.4958485960960388, -0.02621663548052311), (0.8292424082756042, 0.4398217797279358, -0.038979291915893555), (0.8316681385040283, 0.40334540605545044, -0.04414338245987892), (0.8321003317832947, 0.3675723075866699, -0.04797373712062836)]"
hand_gesture_dataset/hola_6.png,hola,[],"[(0.7947115898132324, 0.6521029472351074, 3.250190729886526e-07), (0.7424784302711487, 0.6280978322029114, -0.022144371643662453), (0.7052014470100403, 0.5676639080047607, -0.030757460743188858), (0.6827201843261719, 0.5109728574752808, -0.03776334598660469), (0.6553564667701721, 0.47576218843460083, -0.044480010867118835), (0.733208417892456, 0.4759291112422943, -0.011071588844060898), (0.7218645811080933, 0.4043194055557251, -0.025901272892951965), (0.7181618809700012, 0.35959476232528687, -0.03956250101327896), (0.7178925275802612, 0.31800395250320435, -0.05002614110708237), (0.7658244371414185, 0.46562740206718445, -0.012923280708491802), (0.7587001323699951, 0.3850054144859314, -0.024791954085230827), (0.756545901298523, 0.3327353894710541, -0.037603504955768585), (0.7564805150032043, 0.2860950827598572, -0.047625720500946045), (0.7968073487281799, 0.47415444254875183, -0.018538860604166985), (0.797731876373291, 0.3986833691596985, -0.03254760429263115), (0.7988279461860657, 0.3509635627269745, -0.04204040393233299), (0.7990292310714722, 0.30837294459342957, -0.04897404834628105), (0.8272912502288818, 0.4962436258792877, -0.02649555541574955), (0.8329087495803833, 0.4392574429512024, -0.03958554193377495), (0.8350849151611328, 0.4020119607448578, -0.044447287917137146), (0.8354882001876831, 0.3662474751472473, -0.047812193632125854)]"
hand_gesture_dataset/hola_7.png,hola,[],"[(0.7922643423080444, 0.6520819067955017, 3.274979576417536e-07), (0.7407101988792419, 0.6289120316505432, -0.02173575945198536), (0.7041633129119873, 0.5687510967254639, -0.030338265001773834), (0.6819130182266235, 0.512437641620636, -0.03731278330087662), (0.6540354490280151, 0.4779365658760071, -0.04398031160235405), (0.731029212474823, 0.47585588693618774, -0.01077923271805048), (0.7205176949501038, 0.404153972864151, -0.02500869706273079), (0.716895341873169, 0.3598913252353668, -0.03827204555273056), (0.7163884043693542, 0.318727970123291, -0.048528142273426056), (0.7637905478477478, 0.4657674729824066, -0.012759151868522167), (0.7570624351501465, 0.38525062799453735, -0.02404770255088806), (0.7550454139709473, 0.33355405926704407, -0.036585163325071335), (0.7547609210014343, 0.2872251868247986, -0.04651680961251259), (0.7948471903800964, 0.47439801692962646, -0.01841558702290058), (0.7958974838256836, 0.3992786407470703, -0.03191588819026947), (0.797129213809967, 0.35192427039146423, -0.04128297418355942), (0.7971634268760681, 0.3094474673271179, -0.04828595370054245), (0.8253799676895142, 0.49635493755340576, -0.02635357901453972), (0.8310034275054932, 0.4391727149486542, -0.03890645131468773), (0.8335147500038147, 0.40230000019073486, -0.04349548742175102), (0.8341549634933472, 0.3667287230491638, -0.04680052772164345)]"
hand_gesture_dataset/hola_8.png,hola,[],"[(0.7933103442192078, 0.6483098864555359, 3.232376002415549e-07), (0.7418144941329956, 0.6262729167938232, -0.02250846102833748), (0.7053623199462891, 0.5684511661529541, -0.031511109322309494), (0.683327317237854, 0.512702226638794, -0.03878835588693619), (0.6564568281173706, 0.47737398743629456, -0.045779451727867126), (0.7312799692153931, 0.47493019700050354, -0.01167458575218916), (0.7197679281234741, 0.40365853905677795, -0.026597023010253906), (0.7161887288093567, 0.35924357175827026, -0.04029865190386772), (0.7160180807113647, 0.31791266798973083, -0.0507550947368145), (0.7640657424926758, 0.46398940682411194, -0.013314228504896164), (0.7570346593856812, 0.38378626108169556, -0.025258386507630348), (0.7547645568847656, 0.33216339349746704, -0.03825478255748749), (0.7543788552284241, 0.28573814034461975, -0.04847335442900658), (0.7950882315635681, 0.47177717089653015, -0.01869703270494938), (0.7955150008201599, 0.39709120988845825, -0.0327712781727314), (0.7965245842933655, 0.34992721676826477, -0.04235903173685074), (0.7965787053108215, 0.3074987232685089, -0.049419526010751724), (0.825620174407959, 0.49301406741142273, -0.026435617357492447), (0.8307576179504395, 0.4363931715488434, -0.03949280455708504), (0.8331954479217529, 0.3995823562145233, -0.04435618594288826), (0.8339531421661377, 0.36398211121559143, -0.04777349531650543)]"
hand_gesture_dataset/hola_9.png,hola,[],"[(0.7933345437049866, 0.647121787071228, 3.391084817394585e-07), (0.7412270307540894, 0.6242660284042358, -0.02267794869840145), (0.7051033973693848, 0.5655977725982666, -0.031679920852184296), (0.6828478574752808, 0.5101292729377747, -0.03895462676882744), (0.6560455560684204, 0.4749613404273987, -0.04584026709198952), (0.7317289710044861, 0.47337570786476135, -0.010887302458286285), (0.7204744219779968, 0.402540385723114, -0.02554120495915413), (0.7167874574661255, 0.3583867847919464, -0.039151985198259354), (0.716498076915741, 0.3172647953033447, -0.04950588196516037), (0.7644044756889343, 0.46322569251060486, -0.012398581951856613), (0.7576714754104614, 0.38360464572906494, -0.024056635797023773), (0.7555959820747375, 0.3319661617279053, -0.037007685750722885), (0.7555197477340698, 0.28550004959106445, -0.0470971055328846), (0.7953057885169983, 0.47157445549964905, -0.017708642408251762), (0.7960206866264343, 0.3975052237510681, -0.03151450678706169), (0.7973003387451172, 0.35048776865005493, -0.04096195474267006), (0.7976133823394775, 0.3080063462257385, -0.04783353582024574), (0.8255723714828491, 0.49317944049835205, -0.025387179106473923), (0.8307691812515259, 0.43654918670654297, -0.03800312429666519), (0.833534836769104, 0.4001171290874481, -0.042417384684085846), (0.8346101641654968, 0.3648989796638489, -0.045460283756256104)]"
